mean_threshold_nonword,median_threshold_nonword,real_threshold_nonword,HDI_threshold_nonword_bottom,HDI_threshold_nonword_top
1.234350981875,1.234575,1.168948333768516,1.16186,1.30487
1.2784828775000001,1.27818,1.1973078369723118,1.20467,1.3536
1.2216188512500001,1.221905,1.1899432107649806,1.14851,1.29451
1.179836789375,1.17969,1.2230447935274325,1.11871,1.24577
1.1014907116250001,1.10158,1.0851954319001187,1.03968,1.16102
1.27331998375,1.273205,1.1839500160127052,1.19726,1.34931
1.327219601875,1.32629,1.3014054058233557,1.25157,1.40857
1.14897481375,1.149105,1.1274327184510562,1.08281,1.21133
1.1678306831250003,1.16776,1.1463533996019195,1.09722,1.2417
1.21947371625,1.21926,1.1861983370369005,1.15161,1.28937
1.26458610875,1.264025,1.2243320449691126,1.19133,1.33939
1.16852018,1.16816,1.130255996642701,1.09894,1.23849
1.253993099375,1.2543350000000002,1.2779496714964655,1.17902,1.32771
1.1877076212500002,1.18771,1.2139740306013669,1.11762,1.25701
1.1646493631250001,1.164625,1.1699569600124031,1.09974,1.22922
1.1890410406249998,1.188865,1.1614508385132958,1.11653,1.25755
1.20415057625,1.20347,1.1266704896752504,1.13056,1.27343
1.0427776398125,1.0422,1.0493895666121715,0.983399,1.10662
1.269986663125,1.26947,1.2837405996608728,1.19473,1.34354
1.161362046875,1.16154,1.1254901379124491,1.09018,1.22963
1.1539064562499999,1.1536,1.1177212173894486,1.08473,1.22254
1.180550951875,1.18027,1.1238395546700646,1.10914,1.25579
1.102290054,1.10188,1.0910878080774933,1.03567,1.17359
1.29313608,1.293365,1.2490952109133715,1.21951,1.36798
