mean_alpha,mean_b,mean_k_1,mean_k_2,mean_g,mean_m,mean_threshold_word,mean_threshold_nonword,median_alpha,median_b,median_k_1,median_k_2,median_g,median_m,median_threshold_word,median_threshold_nonword,real_k_1,HDI_k_1_bottom,HDI_k_1_top,real_k_2,HDI_k_2_bottom,HDI_k_2_top,real_alpha,HDI_alpha_bottom,HDI_alpha_top,real_b,HDI_b_bottom,HDI_b_top,real_g,HDI_g_bottom,HDI_g_top,real_m,HDI_m_bottom,HDI_m_top,real_threshold_word,HDI_threshold_word_bottom,HDI_threshold_word_top,real_threshold_nonword,HDI_threshold_nonword_bottom,HDI_threshold_nonword_top
2.164101665,0.48536530404999995,2.3362443519999996,3.80085825,0.026284615940000002,0.947100869,1.1856971685000002,1.37512412,2.1316550000000003,0.4806295,2.3460799999999997,3.8015499999999998,0.02586355,0.948491,1.17813,1.3674,1.7949811757497875,1.49821,3.12587,3.823894901509653,3.16411,4.4502,1.9574662640656857,1.5094,2.91151,0.4700182758290524,0.216539,0.801976,0.03606884307665986,0.0092692,0.0436428,1.6148050031777512,0.923165,0.967585,1.192729968699315,1.01047,1.39429,1.4402354416519256,1.15995,1.60675
0.7300426975000001,0.5865613035,2.1539916445,3.8436775850000005,0.039304469599999996,0.9442836425000001,0.9745360855,1.752941475,0.719106,0.582983,2.138805,3.846835,0.039167999999999994,0.9452815,0.966385,1.7459850000000001,2.833290174172214,1.44237,2.82087,3.4789702361429233,3.20123,4.48646,0.9937456563727232,0.317994,1.10579,0.3335059130562345,0.308922,0.844906,0.06420806465866823,0.0212917,0.0574145,1.7170388082751704,0.919871,0.963354,1.0427929654282975,0.826227,1.14989,1.6800715205435959,1.54166,1.97918
1.8690178059999998,0.16813901765,2.3926295050000004,3.2361675200000004,0.021249667975,0.9182567195,1.1498726394999998,1.772355235,1.847925,0.15992,2.37825,3.22314,0.020252449999999998,0.920208,1.13859,1.76194,2.5258599362094762,1.80134,3.05691,3.3908593778320837,2.62691,3.85042,1.675492089828551,1.30366,2.52596,0.09450277612259103,0.0350943,0.313886,0.008618841043026716,0.00434344,0.0397041,1.4251829119829906,0.883706,0.952063,1.1064717831501496,0.938835,1.35907,1.8020267051508798,1.5045,2.0315
2.38313745,0.5790627975,2.1363621905,3.605933105,0.06494344305,0.91679115,1.2719697025,1.52334777,2.3649050000000003,0.572124,2.144105,3.588495,0.06492555,0.9176344999999999,1.266065,1.522375,2.67865569868798,1.35695,2.94972,3.583692897193336,2.99931,4.30889,2.5947576132968058,1.63328,3.20168,0.3841165405249077,0.306702,0.858098,0.0719121379760721,0.0427526,0.0869729,1.7315651942020627,0.889492,0.942634,1.2646813028244628,1.05049,1.47115,1.5328299182492409,1.29886,1.78355
1.2051098115,0.25321355905000004,2.6763456349999997,3.9556691549999994,0.05764300540000001,0.9315655975,0.9780493845000001,1.8747424350000002,1.1932,0.24131249999999999,2.672695,3.9563249999999996,0.057853550000000004,0.9324604999999999,0.9678215,1.870145,2.541331842571972,1.93308,3.36972,3.7761503917833465,3.27012,4.76934,1.6134045171769669,0.756063,1.67809,0.1372910838822267,0.0510222,0.462631,0.09241884106469694,0.0330179,0.0826809,1.608132441504783,0.905187,0.957108,0.8498537982451762,0.7802,1.17526,1.783325166742797,1.55643,2.16303
1.615548735,0.616853818,2.571898865,2.94174017,0.032987891614999994,0.9564866325,0.8730281595,1.4813300800000002,1.60958,0.6069045,2.57896,2.926065,0.03296225,0.957101,0.87026,1.47434,2.6404519425976836,1.79017,3.32149,2.938495866386021,2.27459,3.5767,2.447617719969879,0.901643,2.33002,0.4075021797679747,0.245328,0.987199,0.052460721095327414,0.0147832,0.0518261,1.5270620126154206,0.940655,0.971426,0.8666108749377597,0.752187,1.00086,1.4930816301615217,1.31021,1.67669
0.9322255374999999,0.58639800435,3.37133416,3.124150775,0.06544985775,0.9173968910000001,1.3522381805,1.5995718099999998,0.922655,0.58609,3.367325,3.1160699999999997,0.06604625,0.9183520000000001,1.34504,1.5845699999999998,3.3778980105137015,2.59314,4.15289,3.223931839467313,2.44913,3.82455,0.9886543916614698,0.470033,1.38078,0.38251494680031756,0.267065,0.937111,0.13666285763429825,0.0417307,0.0910391,1.7338710270570696,0.888366,0.94599,1.2415315832460945,1.10712,1.62616,1.4783536088432903,1.33555,1.87968
1.6157777955000001,0.23782000595,2.24148945,3.330425435,0.010787261480000001,0.9192672895,1.411434405,1.711857895,1.6009950000000002,0.23436400000000002,2.24652,3.3224850000000004,0.009786945,0.920229,1.40519,1.701905,2.3873940473352446,1.59111,2.86223,3.3435301490864107,2.80825,3.89331,1.6797723917238636,1.14722,2.11356,0.25171199328659855,0.0773389,0.406644,-0.05821575452217537,0.00220429,0.0218887,1.6116971135559803,0.8856,0.953856,1.3643408999027757,1.18987,1.63914,1.639441603841245,1.45457,1.95927
1.8614291,0.21672351555,2.6022328200000002,3.39641199,0.065111188,0.9276956175000001,1.271993565,1.6742633300000003,1.8392,0.20807199999999998,2.603485,3.38384,0.065386,0.9290835,1.2625549999999999,1.66296,2.315998737991251,1.87728,3.22299,3.358149337057905,2.83101,4.00336,1.9325073821806358,1.26403,2.43528,0.13610395366511713,0.0437163,0.392661,0.08177245259412161,0.0381793,0.0915194,1.597606099881525,0.89895,0.95489,1.087878196213106,1.07512,1.48773,1.661723494582187,1.40459,1.93504
1.8476704460000002,0.42405968565,2.1283350405,3.4535028549999995,0.10952847695,0.8625998469999999,1.34688351,1.77953337,1.82294,0.422008,2.1262350000000003,3.45296,0.1098595,0.864263,1.337335,1.773995,2.2978443116104654,1.38691,2.92718,3.484639216768249,2.87463,4.08247,1.7104959459660054,1.24708,2.43226,0.3700610971386478,0.179093,0.688904,0.14790863374708182,0.0584411,0.150032,1.201901829183452,0.817682,0.903931,1.2974856017992409,1.11145,1.57383,1.8155879477284274,1.47499,2.07673
1.363889307,0.19662650265,3.8395679900000004,3.44233984,0.07523902625000001,0.9335571905,1.2564795574999998,1.64063472,1.348565,0.1835095,3.8268449999999996,3.4403050000000004,0.07571130000000001,0.9353595,1.24357,1.62978,3.2502845050667255,3.11946,4.62346,3.7315002370693153,2.81714,4.12984,1.4991792556384111,0.936469,1.7717,0.09943618714433794,0.0493002,0.3811,0.13350971432868747,0.0500602,0.102132,1.5202663370641005,0.904954,0.960443,1.070864189802569,1.03801,1.5233,1.619757404308914,1.36688,1.90955
1.5981170885,0.39073746130000003,2.663278185,3.8249528250000004,0.031735047895,0.8998945260000001,1.47755745,1.697432715,1.578535,0.38770950000000004,2.66207,3.80219,0.03068515,0.9019005,1.4614150000000001,1.67966,2.210374992680755,1.82523,3.48635,3.357370019098228,3.15571,4.51856,2.0900415589939003,1.06177,2.14085,0.31227713084368136,0.121905,0.654041,0.04450353335920462,0.0107739,0.0552557,1.5503741489289062,0.85887,0.936503,1.2176826385577073,1.22831,1.77416,1.4927799155779689,1.40586,2.02425
1.76648967,0.14934930385,2.7046816249999996,4.358171544999999,0.013102706535,0.8789419805,1.6995333600000002,1.8700196450000002,1.75226,0.14041700000000001,2.70005,4.35601,0.0119095,0.8807879999999999,1.69117,1.8514,2.467641361099396,2.09061,3.36174,3.96685181238786,3.65589,5.03283,2.1598322526304505,1.3369,2.24824,0.0808212601847293,0.0379625,0.291319,-0.014869909194760667,0.00232952,0.0258445,1.6380844735240239,0.837591,0.916237,1.4451457754903596,1.41537,1.98402,1.6122664308188106,1.53359,2.2366
1.3441577610000002,0.45045604925,2.924594935,3.617028845,0.028627374499999997,0.932656575,1.062430622,1.76327023,1.33534,0.4420845,2.92725,3.602785,0.0286058,0.9341345000000001,1.05243,1.7536100000000001,2.9717661883301556,2.114,3.68927,3.7158948777712815,3.00252,4.36397,1.5141807803554717,0.818857,1.85239,0.30301218876147984,0.129583,0.737353,0.06435856942626875,0.00987997,0.045684,1.6143159667660327,0.908251,0.956408,1.0499016604343439,0.889658,1.27235,1.687507628861755,1.5128,2.00177
1.78633736,0.5985672965,2.619622565,3.409062285,0.057401378190000005,0.9521099605000001,1.2452224805,1.910368495,1.77677,0.5953865,2.617785,3.389145,0.05755465,0.95298,1.239015,1.903285,2.1648139732575578,1.87742,3.41061,2.962195980043009,2.836,4.08417,2.033932354591659,1.13587,2.48874,0.46369787572018506,0.274833,0.941802,0.09421315167487393,0.0311625,0.0906039,1.7390979328667533,0.928899,0.972851,1.1295016044243404,1.01444,1.45566,1.7165808397913265,1.59942,2.20558
