name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
ndt_t[4861],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[4862],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[4863],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[4864],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[4865],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[4866],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[4867],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[4868],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[4869],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[4870],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[4871],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[4872],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[4873],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[4874],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[4875],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[4876],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[4877],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[4878],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[4879],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[4880],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[4881],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
