name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
threshold_t_word[24026],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24027],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24028],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24029],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24030],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24031],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24032],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24033],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24034],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24035],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24036],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24037],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24038],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24039],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24040],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24041],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24042],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24043],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24044],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24045],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24046],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24047],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24048],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24049],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24050],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24051],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24052],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24053],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24054],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24055],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24056],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24057],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24058],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24059],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24060],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24061],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24062],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24063],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24064],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24065],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24066],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24067],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24068],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24069],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24070],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24071],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24072],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24073],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24074],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24075],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24076],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24077],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24078],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24079],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24080],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24081],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24082],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24083],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24084],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24085],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24086],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24087],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24088],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24089],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24090],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24091],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24092],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24093],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24094],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24095],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24096],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24097],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24098],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24099],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24100],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24101],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24102],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24103],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24104],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24105],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24106],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24107],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24108],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24109],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24110],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24111],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24112],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24113],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24114],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24115],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24116],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24117],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24118],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24119],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24120],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24121],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24122],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24123],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24124],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24125],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24126],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24127],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24128],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24129],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24130],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24131],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24132],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24133],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24134],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24135],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24136],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24137],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24138],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24139],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24140],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24141],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24142],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24143],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24144],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24145],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24146],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24147],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24148],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24149],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24150],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24151],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24152],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24153],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24154],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24155],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24156],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24157],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24158],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24159],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24160],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24161],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24162],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24163],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24164],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24165],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24166],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24167],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24168],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24169],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
threshold_t_word[24170],1.3,0.015,0.12,1.1,1.2,1.4,69.0,0.00072,1.1
